genus,id,degree,weight_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,membership,trophic
X.1..Trachytes,X.1..Trachytes,0,0,0,NA,4.15E-19,9,pred 
X.2..Uropoda,X.2..Uropoda,4,2.114495246,136,0.00459757,0.034560876,3,pred 
X.3..Discourella,X.3..Discourella,0,0,0,NA,4.15E-19,10,pred 
X.4..Nenteria,X.4..Nenteria,15,9.133965597,464,0.005807241,0.279514902,3,pred 
X.5..Dinychus,X.5..Dinychus,1,0.55141904,0,1.813502848,7.97E-18,6,pred 
X.6..Uroobovella,X.6..Uroobovella,1,0.55141904,0,1.813502848,1.98E-17,6,pred 
X.7..Oplitis,X.7..Oplitis,3,1.788567295,31,0.003934721,0.004837221,4,pred 
X.8..Epicrius,X.8..Epicrius,3,1.755475253,25,0.00413237,0.019982133,3,pred 
X.9..Metazercon,X.9..Metazercon,8,6.530896184,14.2,0.004429171,0.030544799,4,pred 
X.10..Parazercon,X.10..Parazercon,8,4.412417406,158,0.004976522,0.103066622,3,pred 
X.11..Prozercon,X.11..Prozercon,10,6.132477887,89,0.00487227,0.183081192,3,pred 
X.12..Xenozercon,X.12..Xenozercon,1,0.5,0,0.003165205,0.011808242,2,pred 
X.13..Syskenozercon,X.13..Syskenozercon,8,6.530896184,14.2,0.004429171,0.030544799,4,pred 
X.14..Zercon,X.14..Zercon,4,2.271863619,76,0.004215617,0.006531046,4,pred 
X.15..Neogamasus,X.15..Neogamasus,11,6.782678106,9,0.005284615,0.23418377,3,pred 
X.16..Vulgarogamasus,X.16..Vulgarogamasus,8,4.9667192,21,0.004974639,0.072868683,5,pred 
X.17..Cornigamasus,X.17..Cornigamasus,4,2.416830915,3,0.00429231,0.091559964,3,pred 
X.18..Parasitus,X.18..Parasitus,18,11.61649353,77,0.005643643,0.442847358,3,pred 
X.19..Veigaia,X.19..Veigaia,1,0.579979249,0,1.724199618,1.33E-17,7,pred 
X.20..Gamasellus,X.20..Gamasellus,9,5.951742327,11,0.004872605,0.319431296,3,pred 
X.21..Dendrolaelaps,X.21..Dendrolaelaps,14,8.338137071,174,0.005816997,0.337971049,3,pred 
X.22..Rhodacarus,X.22..Rhodacarus,4,2.415204733,39,0.004579022,0.01253973,4,pred 
X.23..Rhodacarellus,X.23..Rhodacarellus,2,1.550223587,0,0.002761459,5.14E-05,8,pred 
X.24..Gamasiphis,X.24..Gamasiphis,3,1.761182325,98,0.003788271,0.019032804,1,pred 
X.25..Glyptholaspis,X.25..Glyptholaspis,16,9.476519832,245,0.005668494,0.552898951,3,pred 
X.26..Macrocheles,X.26..Macrocheles,6,3.417810638,5,0.004966095,0.139418,3,pred 
X.27..Gamasholaspis,X.27..Gamasholaspis,13,7.438498922,265,0.005860494,0.210853524,2,pred 
X.28..Krantzholaspis,X.28..Krantzholaspis,18,9.540861151,19,0.005625653,0.885655597,3,pred 
X.29..Parholaspulus,X.29..Parholaspulus,16,9.688193474,60,0.005670822,0.395623405,3,pred 
X.30..Pachylaelaps,X.30..Pachylaelaps,8,4.554850774,118,0.005232064,0.154869302,3,pred 
X.31..Pachyseius,X.31..Pachyseius,4,2.15525913,289,0.005025909,0.023123836,5,pred 
X.32..Amblyseius,X.32..Amblyseius,8,6.530896184,14.2,0.004429171,0.030544799,4,pred 
X.33..Asca,X.33..Asca,21,12.5295071,245,0.005826454,0.908775964,2,pred 
X.34..Ameroseius,X.34..Ameroseius,11,6.034869514,113,0.005567636,0.442495843,2,pred 
X.35..Polyaspinus,X.35..Polyaspinus,4,2.498974589,50,0.004389852,0.069611245,2,pred 
X.36..Podocinum,X.36..Podocinum,5,1.650221949,117,0.004245288,0.00493037,4,pred 
X.37..Cheiroseius,X.37..Cheiroseius,1,0.544948889,0,0.003528021,0.002211223,3,pred 
X.38..Lasioseius,X.38..Lasioseius,4,2.27106609,64,0.004929428,0.066927152,5,pred 
X.39..Proctolaelaps,X.39..Proctolaelaps,0,0,0,NA,4.15E-19,11,pred 
X.40..Cosmolaelaps,X.40..Cosmolaelaps,16,9.163010548,196,0.005801945,0.270707425,3,pred 
X.41..Geolaelaps,X.41..Geolaelaps,7,1.611875297,163,0.004796029,0.026903322,1,pred 
X.42..Laelaspis,X.42..Laelaspis,6,4.149384449,43,0.00390723,0.031639355,4,pred 
X.43..Ololaelaps,X.43..Ololaelaps,5,-2.059092285,16,0.004056811,0.013307392,1,pred 
X.44..Alloparasitus,X.44..Alloparasitus,4,2.600110694,42,0.003721045,0.008512989,4,pred 
X.1..Archoplophora,X.1..Archoplophora,15,8.120030262,129,0.005770451,0.529197011,3,fungi
X.2..Eohypochthonius,X.2..Eohypochthonius,6,2.270955255,41,0.004910336,0.238620702,2,pred 
X.3..Hypochthonius,X.3..Hypochthonius,8,-3.408986293,287,0.00529919,0.209206117,1,pred 
X.4..Hypochthoniella,X.4..Hypochthoniella,4,2.304599577,359,0.003382369,0.000702133,8,decomp
X.5..Cosmochthonius,X.5..Cosmochthonius,5,3.256203989,35,0.004687081,0.033038611,3,fungi
X.6..Meristacarus,X.6..Meristacarus,13,9.049162344,110,0.00555697,0.647222833,2,fungi
X.7..Mixacarus,X.7..Mixacarus,7,4.403102876,79,0.004658338,0.285286483,2,fungi
X.8..Papillacarus,X.8..Papillacarus,13,7.732228898,179,0.005460053,0.487363936,2,fungi
X.9..Lohmannia,X.9..Lohmannia,13,9.049162344,110,0.00555697,0.647222833,2,fungi
X.10..Eulohmannia,X.10..Eulohmannia,3,1.599460957,10,0.00458001,0.043795205,2,fungi
X.11..Perlohmannia,X.11..Perlohmannia,9,5.672809964,86,0.005332063,0.175997323,2,fungi
X.12..Epilohmannia,X.12..Epilohmannia,6,2.251812677,269,0.005230869,0.062397853,1,decomp
X.13..Microtritia,X.13..Microtritia,13,7.241807508,102,0.005578357,0.450041949,3,fungi
X.14..Rhysotritia,X.14..Rhysotritia,16,10.28270687,169,0.005632644,0.385461235,3,fungi
X.15..Acrotritia,X.15..Acrotritia,18,11.42113579,65,0.005393496,0.863966374,2,fungi
X.16..Synichotritia,X.16..Synichotritia,8,6.530896184,14.2,0.004429171,0.030544799,4,fungi
X.17..Phthiracarus,X.17..Phthiracarus,19,9.786620651,122,0.005801716,0.885064071,3,fungi
X.18..Steganacarus,X.18..Steganacarus,13,6.523440028,224,0.005756969,0.348543472,3,fungi
X.19..Hoplophthiracarus,X.19..Hoplophthiracarus,17,10.33055619,443,0.005880193,0.420829861,3,fungi
X.20..Hoplophorella,X.20..Hoplophorella,2,1.444630237,0,0.003538427,0.021835632,4,fungi
X.22..Platynothrus,X.22..Platynothrus,2,1.190821469,0,0.004218493,0.017744246,5,decomp
X.23..Heminothrus,X.23..Heminothrus,5,2.873753714,14,0.004594248,0.033410567,5,decomp
X.24..Nothrus,X.24..Nothrus,14,5.996786821,543,0.005783377,0.205544599,5,fungi
X.25..Crotonia,X.25..Crotonia,7,4.460815039,118,0.004394015,0.013318564,4,decomp
X.26..Holonothrus,X.26..Holonothrus,10,6.154079619,337,0.00484164,0.052112863,4,decomp
X.28..Allonothrus,X.28..Allonothrus,8,3.774217731,98,0.004662587,0.055858454,5,fungi
X.29..Afronothrus,X.29..Afronothrus,10,5.983072246,153,0.005528597,0.148961324,5,decomp
X.30..Trhypochthoniellus,X.30..Trhypochthoniellus,4,2.322727514,43,0.004649761,0.087046655,3,pred 
X.31..Trhypochthonius,X.31..Trhypochthonius,6,3.136781513,127,0.005233931,0.135241426,2,fungi
X.32..Malaconothrus,X.32..Malaconothrus,17,10.50872968,44,0.005487236,0.7905037,2,fungi
X.33..Trimalaconothrus,X.33..Trimalaconothrus,11,6.287246469,374,0.005202991,0.10788572,4,pred 
X.34..Nanhermannia,X.34..Nanhermannia,7,1.70968357,193,0.004879674,0.111065068,4,fungi
X.35..Cyrthermannia,X.35..Cyrthermannia,14,7.094781494,152,0.005733814,0.481565433,3,fungi
X.36..Hermannia,X.36..Hermannia,19,11.43702718,377,0.005696574,0.67340019,3,decomp
X.37..Hermanniella,X.37..Hermanniella,11,6.950093165,46,0.00515564,0.597626119,2,decomp
X.38..Plasmobates,X.38..Plasmobates,13,9.049162344,110,0.00555697,0.647222833,2,decomp
X.39..Damaeus,X.39..Damaeus,8,6.530896184,14.2,0.004429171,0.030544799,4,fungi
X.40..Epidamaeus,X.40..Epidamaeus,17,10.52455107,116,0.005833569,0.344980292,3,fungi
X.41..Eremulus,X.41..Eremulus,9,4.865038728,241,0.005595028,0.112954874,5,fungi
X.42..Eremobelba,X.42..Eremobelba,4,2.416661459,5,0.004600674,0.032843449,5,fungi
X.43..Fosseremus,X.43..Fosseremus,14,8.178782282,372,0.005653326,0.142496141,2,fungi
X.44..Ctenobelba,X.44..Ctenobelba,2,1.109974425,15,0.003351638,0.001435018,1,fungi
X.45..Eremaeus,X.45..Eremaeus,11,6.39409722,100,0.005373268,0.395715029,2,fungi
X.46..Liacarus,X.46..Liacarus,0,0,0,NA,4.15E-19,12,decomp
X.47..Ceratoppia,X.47..Ceratoppia,3,1.733318072,73,0.004367789,0.017858637,5,decomp
X.48..Austroceratoppia,X.48..Austroceratoppia,1,0.699965823,0,0.002629181,5.77E-05,8,decomp
X.49..Pyroppia,X.49..Pyroppia,5,3.268206425,0,0.004125347,0.227015248,2,decomp
X.50..Cultroribula,X.50..Cultroribula,4,1.411358852,7,0.004268527,0.051483862,1,fungi
X.51..Astegistes,X.51..Astegistes,9,5.672809964,86,0.005332063,0.175997323,2,fungi
X.52..Gustavia,X.52..Gustavia,2,0.050721517,29,0.003782094,0.0015337,5,decomp
X.53..Carabodes,X.53..Carabodes,6,3.860335551,98,0.004382206,0.205369237,2,decomp
X.54..Nippobodes,X.54..Nippobodes,2,1.201557112,57,0.003883258,0.004436651,1,decomp
X.55..Dolicheremaeus,X.55..Dolicheremaeus,15,9.440582647,262,0.005614892,0.542436452,2,fungi
X.56..Otocepheus,X.56..Otocepheus,8,5.031229308,326,0.005149032,0.102836024,2,fungi
X.57..Allosuctobelba,X.57..Allosuctobelba,1,0.579979249,0,1.724199618,1.21E-17,7,decomp
X.58..Suctobelbella,X.58..Suctobelbella,6,3.221856328,107,0.005452045,0.16310886,3,fungi
X.59..Parisuctobelba,X.59..Parisuctobelba,2,1.550223587,0,0.002761459,5.14E-05,8,fungi
X.60..Oppia,X.60..Oppia,1,0.643471541,0,0.003957165,0.02776721,5,pred 
X.61..Oppiella,X.61..Oppiella,7,3.902762168,94,0.005158767,0.117816164,3,pred 
X.62..Ramusella,X.62..Ramusella,7,3.92254903,103,0.005202908,0.109965942,2,pred 
X.63..Arcoppia,X.63..Arcoppia,14,8.722185499,100,0.005562982,0.564929446,2,pred 
X.64..Microppia,X.64..Microppia,21,11.29228521,612,0.006117433,0.919375268,2,pred 
X.65..Multioppia,X.65..Multioppia,5,3.256203989,35,0.004687081,0.033038611,3,fungi
X.66..Lasiobelba,X.66..Lasiobelba,0,0,0,NA,4.15E-19,13,pred 
X.67..Lauroppia,X.67..Lauroppia,4,2.130178695,68,0.004689864,0.034658016,5,pred 
X.68..Medioppia,X.68..Medioppia,4,2.306881605,474,0.004207527,0.011669125,5,pred 
X.69..Tectocepheus,X.69..Tectocepheus,3,0.455714944,66,0.004727543,0.030081358,1,decomp
X.70..Scutovertex,X.70..Scutovertex,11,6.843860506,30,0.005472947,0.345401783,3,decomp
X.71..Neoribates,X.71..Neoribates,5,1.733098302,73,0.004325743,0.019662157,1,fungi
X.72..Protokalumma,X.72..Protokalumma,9,5.316131409,186,0.00549545,0.234019171,3,fungi
X.74..Scheloribates,X.74..Scheloribates,13,0.497689673,455,0.005719315,0.367545302,5,fungi
X.75..Perscheloribates,X.75..Perscheloribates,5,1.615406552,154,0.004711719,0.044668344,5,fungi
X.76..Mochlozetes,X.76..Mochlozetes,5,3.138020433,121,0.003914886,0.201151466,2,decomp
X.77..Rostrozetes,X.77..Rostrozetes,6,3.470130737,121,0.004877486,0.04129776,5,fungi
X.78..Incabates,X.78..Incabates,12,6.907675998,92,0.005441558,0.448883847,2,fungi
X.79..Paraxylobates,X.79..Paraxylobates,8,4.960329972,347,0.005008252,0.236951567,2,fungi
X.80..Peloribates,X.80..Peloribates,14,8.174184654,242,0.005742464,0.287018267,3,fungi
X.81..Xylobates,X.81..Xylobates,6,1.11353516,93,0.004330614,0.014624116,4,fungi
X.82..Protoribates,X.82..Protoribates,22,12.2275652,128,0.006120897,1,2,fungi
X.83..Perxylobates,X.83..Perxylobates,13,9.049162344,110,0.00555697,0.647222833,2,fungi
X.84..Setoxylobates,X.84..Setoxylobates,7,1.17939174,31,0.004574125,0.058064338,1,fungi
X.85..Vilhenabates,X.85..Vilhenabates,6,1.378022354,50,0.004346574,0.042391196,1,fungi
X.86..Ceratozetes,X.86..Ceratozetes,11,5.368413732,245,0.005431765,0.372350788,1,pred 
X.87..Galumna,X.87..Galumna,3,0.712129716,23,0.004295755,0.013335764,4,fungi
X.88..Pergalumna,X.88..Pergalumna,10,5.69884655,29,0.005076502,0.614711886,2,fungi
X.89..Trichogalumna,X.89..Trichogalumna,5,2.960863727,93,0.004596157,0.020127665,4,fungi
X.90..Porogalumnella,X.90..Porogalumnella,7,3.004088835,128,0.00442636,0.013004971,4,fungi
X.91..Galumnella,X.91..Galumnella,12,7.087643365,343,0.004723186,0.028912332,4,fungi
