Forest,Site,(1) Trachytes,(2) Uropoda,(3) Discourella,(4) Nenteria,(5) Dinychus,(6) Uroobovella,(7) Oplitis,(8) Epicrius,(9) Metazercon,(10) Parazercon,(11) Prozercon,(12) Xenozercon,(13) Syskenozercon,(14) Zercon,(15) Neogamasus,(16) Vulgarogamasus,(17) Cornigamasus,(18) Parasitus,(19) Veigaia,(20) Gamasellus,(21) Dendrolaelaps,(22) Rhodacarus,(23) Rhodacarellus,(24) Gamasiphis,(25) Glyptholaspis,(26) Macrocheles,(27) Gamasholaspis,(28) Krantzholaspis,(29) Parholaspulus,(30) Pachylaelaps,(31) Pachyseius,(32) Amblyseius,(33) Asca,(34) Ameroseius,(35) Polyaspinus,(36) Podocinum,(37) Cheiroseius,(38) Lasioseius,(39) Proctolaelaps,(40) Cosmolaelaps,(41) Geolaelaps,(42) Laelaspis,(43) Ololaelaps,(44) Alloparasitus,(1) Archoplophora,(2) Eohypochthonius,(3) Hypochthonius,(4) Hypochthoniella,(5) Cosmochthonius,(6) Meristacarus,(7) Mixacarus,(8) Papillacarus,(9) Lohmannia,(10) Eulohmannia,(11) Perlohmannia,(12) Epilohmannia,(13) Microtritia,(14) Rhysotritia,(15) Acrotritia,(16) Synichotritia,(17) Phthiracarus,(18) Steganacarus,(19) Hoplophthiracarus,(20) Hoplophorella,(21) Camisia,(22) Platynothrus,(23) Heminothrus,(24) Nothrus,(25) Crotonia,(26) Holonothrus,(27) Archegozetes,(28) Allonothrus,(29) Afronothrus,(30) Trhypochthoniellus,(31) Trhypochthonius,(32) Malaconothrus,(33) Trimalaconothrus,(34) Nanhermannia,(35) Cyrthermannia,(36) Hermannia,(37) Hermanniella,(38) Plasmobates,(39) Damaeus,(40) Epidamaeus,(41) Eremulus,(42) Eremobelba,(43) Fosseremus,(44) Ctenobelba,(45) Eremaeus,(46) Liacarus,(47) Ceratoppia,(48) Austroceratoppia,(49) Pyroppia,(50) Cultroribula,(51) Astegistes,(52) Gustavia,(53) Carabodes,(54) Nippobodes,(55) Dolicheremaeus,(56) Otocepheus,(57) Allosuctobelba,(58) Suctobelbella,(59) Parisuctobelba,(60) Oppia,(61) Oppiella,(62) Ramusella,(63) Arcoppia,(64) Microppia,(65) Multioppia,(66) Lasiobelba,(67) Lauroppia,(68) Medioppia,(69) Tectocepheus,(70) Scutovertex,(71) Neoribates,(72) Protokalumma,(73) Phauloppia,(74) Scheloribates,(75) Perscheloribates,(76) Mochlozetes,(77) Rostrozetes,(78) Incabates,(79) Paraxylobates,(80) Peloribates,(81) Xylobates,(82) Protoribates,(83) Perxylobates,(84) Setoxylobates,(85) Vilhenabates,(86) Ceratozetes,(87) Galumna,(88) Pergalumna,(89) Trichogalumna,(90) Porogalumnella,(91) Galumnella
RBS,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,3,0,5,0,0,0,2,0,0,0,1,0,0,8,4,5,0,0,0,0,0,6,8,0,0,24,0,6,0,0,1,22,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,7,0,0,0,10,0,0,0,0,0,3,0,6,1,0,0,0,0,0,0,1,8,0,0,0,0,126,113,0,13,0,0,0,11,0,0,0,0,0,0,2,9,0,0
RBS,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,6,0,0,0,0,0,0,2,0,0,9,4,8,0,0,0,0,0,0,2,0,0,23,0,15,0,1,1,9,1,0,0,2,6,0,0,0,31,0,4,0,0,0,0,0,0,6,6,15,83,0,0,21,9,0,0,6,0,0,8,0,0,0,0,0,0,0,8,0,1,0,0,5,12,0,1,0,2,0,4,0,0,2,1,0,0,5,4,0,0,0,0,0,2,8,0,0,0,0,113,97,0,10,0,0,8,23,0,0,0,0,0,3,0,14,0,0
RBS,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,1,0,0,0,0,0,0,3,0,0,15,0,16,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,8,5,0,4,0,4,0,0,0,0,1,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,193,137,0,1,0,0,2,8,0,0,0,0,0,7,0,25,0,0
RBS,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,5,0,0,0,5,0,0,0,1,0,0,14,3,2,0,0,0,0,0,0,14,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,1,0,34,0,0,8,3,0,0,3,0,0,0,0,0,0,0,0,0,26,5,0,0,0,6,1,0,0,171,0,7,0,0,0,0,0,0,0,6,12,0,0,0,0,42,0,0,128,0,19,0,0,288,252,6,0,0,0,25,48,0,0,42,108,14,0,0,1,0,0
RBS,5,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,8,0,0,0,0,0,0,5,11,5,0,0,0,0,0,0,23,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,43,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,116,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,98,0,13,0,0,212,126,0,0,0,0,22,73,0,0,21,55,7,0,0,12,2,0
RBS,6,0,0,0,3,0,2,5,0,0,0,0,0,0,1,21,3,0,13,0,0,2,8,0,0,0,1,0,0,15,7,0,0,0,4,0,0,0,39,0,0,2,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,32,0,0,0,0,0,0,10,0,24,92,0,0,9,24,3,0,0,0,0,0,0,0,0,0,0,6,4,12,0,0,0,0,26,0,1,202,0,8,0,0,0,0,0,0,0,8,5,0,0,0,0,18,1,0,112,1,9,0,0,312,183,0,0,0,0,15,109,0,0,33,133,9,0,0,18,0,0
DBF,7,0,1,2,12,0,0,0,0,0,0,0,0,0,0,4,0,0,9,4,0,0,1,0,0,0,4,0,0,2,2,3,0,0,0,0,2,18,34,0,3,6,0,0,0,14,0,6,0,0,0,0,0,0,0,0,31,0,37,0,0,0,0,0,0,3,0,0,13,0,0,5,0,4,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,3,0,0,0,0,137,56,0,0,0,0,16,39,0,0,0,3,0,6,0,9,0,0
DBF,8,0,0,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,2,7,0,0,5,0,3,0,2,1,3,0,0,0,0,0,0,0,0,14,0,7,0,0,0,0,0,0,2,0,0,8,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,49,19,0,5,0,0,8,5,0,0,0,4,0,0,0,7,0,0
DBF,9,0,3,3,13,0,0,0,0,0,0,0,0,0,0,1,1,0,8,16,0,0,3,0,0,0,4,0,0,7,7,7,0,0,0,0,3,9,15,2,5,22,0,9,0,6,6,4,0,0,0,0,0,0,0,0,2,0,23,0,0,0,0,0,0,0,0,0,23,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,8,3,3,0,0,0,5,0,1,8,0,2,0,0,117,53,0,5,0,0,15,42,0,0,0,0,0,4,0,39,6,0
DBF,10,2,1,0,45,0,2,5,0,3,2,0,0,1,1,37,0,0,26,2,0,11,38,0,0,0,13,7,0,34,16,13,2,0,0,0,6,1,27,0,8,7,1,0,0,7,0,24,0,0,0,0,0,0,0,0,77,0,61,0,1,0,0,2,0,7,0,0,29,7,2,0,0,0,0,0,0,3,0,1,0,0,0,1,3,5,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,0,4,0,2,0,2,2,2,0,71,192,0,31,0,0,74,55,0,0,2,10,0,12,0,236,20,2
DBF,11,0,0,0,7,9,13,4,0,0,0,0,0,0,0,10,5,0,16,2,0,5,34,0,2,0,5,0,0,21,7,1,0,0,6,0,2,2,16,2,6,7,0,0,2,2,0,18,0,0,0,0,0,0,0,0,69,0,24,0,0,0,0,0,0,6,0,4,19,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,14,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,3,0,0,0,0,1,0,0,0,0,2,0,48,145,0,13,0,0,58,38,0,0,1,18,0,10,0,109,87,2
DBF,12,1,0,0,12,0,0,0,0,0,0,0,0,0,4,18,1,0,8,0,0,1,25,0,0,0,2,1,0,20,5,4,0,0,1,0,3,5,11,0,11,9,0,0,0,1,0,9,0,0,0,0,0,0,0,0,60,0,14,0,0,0,0,0,0,2,0,29,9,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,0,0,0,0,4,0,0,0,1,2,1,0,62,162,0,7,0,0,34,86,0,0,0,3,0,1,0,63,18,1
EBF,13,4,8,0,12,1,0,2,0,0,0,0,0,0,0,2,0,0,8,0,0,0,15,0,0,0,6,0,0,12,0,8,0,0,0,5,2,30,53,0,0,14,0,11,16,9,0,2,0,0,0,3,6,0,0,0,102,0,25,0,0,0,0,0,0,18,11,7,57,9,0,2,12,0,0,3,0,0,21,0,0,0,0,0,0,1,9,0,0,0,1,3,0,0,4,0,0,0,3,0,0,0,2,0,3,6,0,0,0,0,8,1,0,4,0,0,0,0,189,139,0,0,0,0,16,4,0,0,0,6,0,0,0,18,0,0
EBF,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,23,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0,17,8,0,0,0,0,0,5,0,0,0,0,0,0,0,12,0,0
EBF,15,0,0,0,7,1,2,3,0,0,0,0,0,0,0,3,2,0,20,1,0,0,13,0,0,0,3,0,0,12,0,6,0,0,0,0,1,0,16,0,0,10,0,14,11,13,1,1,0,0,0,0,0,0,1,0,67,0,28,0,0,0,4,3,1,6,2,5,61,8,8,1,24,4,0,2,0,0,1,0,0,0,0,0,9,3,2,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,3,2,5,0,0,0,2,0,0,11,0,0,0,0,116,104,0,0,0,0,23,7,0,0,0,0,3,0,0,21,0,0
EBF,16,6,0,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,18,2,0,12,1,0,0,13,6,2,9,32,20,0,0,14,5,0,1,4,1,0,7,14,0,0,0,41,6,0,0,0,4,3,37,4,0,0,6,0,46,1,0,1,1,1,0,0,0,0,7,0,0,0,0,0,0,10,2,0,6,4,3,1,2,0,2,0,0,0,0,4,0,5,0,1,4,0,0,1,0,1,0,0,3,0,0,16,5,8,1,0,0,0,0,19,6,1,8,1,14,40,1,5,0,0,18,13,11,2,5,11,17,1,4,17,0,0
EBF,17,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,12,0,1,22,11,1,0,0,3,0,5,3,3,0,10,5,0,0,0,7,2,0,0,0,0,1,1,0,0,0,1,0,4,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,9,1,0,6,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,8,0,1,0,0,0,0,0,1,0,1,8,10,2,3,0,0,0,0,21,1,2,4,1,18,45,0,1,2,0,15,0,4,0,9,7,25,7,4,43,0,0
EBF,18,0,0,0,11,0,1,1,2,0,0,0,0,0,0,3,0,0,16,0,0,0,4,0,1,0,2,0,4,13,12,3,0,1,3,1,2,3,2,0,1,7,1,0,4,27,7,0,0,0,0,3,2,0,0,0,0,1,24,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,2,8,2,1,1,0,0,0,0,43,0,11,1,0,9,28,0,0,9,1,23,8,7,0,14,11,2,9,6,41,0,0
CBF,19,0,2,0,18,1,3,0,5,0,3,1,0,0,0,20,17,0,23,1,0,6,10,0,0,1,1,2,0,11,21,8,0,0,0,0,0,4,32,0,12,31,0,6,0,12,1,5,0,1,0,0,0,0,0,0,34,0,111,0,0,0,0,1,0,9,0,10,133,0,0,12,9,13,0,12,0,0,3,0,0,0,0,0,16,6,36,1,0,0,0,55,8,0,0,0,8,0,0,0,0,0,3,0,6,12,8,2,0,1,20,0,0,12,0,5,2,0,185,60,0,15,0,0,40,16,0,0,0,0,0,3,0,28,0,0
CBF,20,0,0,1,22,3,5,0,0,0,0,0,1,0,0,7,13,0,23,0,0,0,10,0,0,0,22,11,0,6,14,15,0,0,1,0,1,9,13,3,8,14,0,6,0,11,1,5,0,0,0,0,0,0,0,0,1,0,34,0,0,0,0,0,0,24,3,4,73,0,0,4,6,13,0,1,0,0,17,0,0,2,0,0,5,6,6,1,0,0,0,46,0,0,2,0,7,0,0,0,1,0,6,0,0,5,8,0,0,0,3,1,2,14,0,0,3,0,182,41,0,7,0,0,17,8,0,0,0,0,0,0,0,14,0,0
CBF,21,0,0,0,91,0,1,0,0,0,0,0,0,0,0,6,20,0,35,3,0,8,6,0,0,0,11,8,0,28,5,8,0,3,8,0,0,2,19,0,14,62,0,28,0,20,0,3,0,0,0,0,1,0,5,5,59,4,118,0,0,0,4,2,0,13,1,4,52,0,0,14,3,32,0,6,8,1,20,0,0,0,0,0,44,17,14,1,0,6,0,0,0,0,6,1,0,0,0,2,4,14,9,0,7,14,13,4,0,0,0,23,15,24,2,0,0,0,224,56,0,34,3,0,36,3,0,0,0,0,0,2,0,3,0,0
CBF,22,0,0,2,34,1,2,0,0,0,0,0,0,0,0,3,4,0,45,1,0,0,3,1,0,0,13,0,0,24,15,1,0,0,0,0,0,1,19,0,11,5,0,0,0,12,0,0,2,0,0,0,0,0,0,0,36,0,34,0,0,0,6,1,0,8,0,0,19,0,0,3,0,1,0,1,0,0,0,6,0,0,0,0,8,0,19,0,0,4,1,4,6,0,13,0,6,0,0,0,0,4,9,1,1,16,1,0,0,0,12,0,1,0,28,3,3,0,30,118,0,38,0,0,67,19,0,0,7,39,0,17,0,58,0,0
CBF,23,0,1,0,17,4,7,0,0,0,0,1,0,0,0,2,0,0,24,0,2,2,2,0,0,1,7,0,5,22,7,0,0,0,2,0,0,11,12,0,7,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,26,1,34,0,0,1,1,6,0,25,2,0,34,0,0,0,1,0,1,5,0,1,0,6,3,0,0,0,1,0,8,0,0,0,0,11,0,0,13,0,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,15,40,0,3,0,0,18,21,0,0,2,48,5,0,0,7,0,0
CBF,24,1,1,0,15,0,0,0,0,0,4,1,0,0,0,13,4,1,47,1,1,2,0,0,0,1,6,0,1,25,7,3,0,1,1,0,0,2,13,0,0,15,0,1,0,54,0,0,0,0,0,0,0,0,1,0,61,2,115,0,0,1,13,1,0,9,0,0,47,0,0,0,0,9,0,2,1,0,2,2,6,1,0,0,5,0,16,0,0,0,0,2,0,0,16,0,11,0,2,0,0,0,12,0,0,3,0,0,0,0,4,0,0,3,12,0,0,0,33,102,0,9,0,0,56,17,0,0,1,64,14,5,6,29,0,0
